"rep","mode","n_changepoints","precision","recall","F1","changepoints"
88,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1540,1685,1866,2047,2591,2768"
88,"both",8,0.625,0.5,0.555555555555556,"1070,1540,1685,1866,2047,2428,2572,2768"
89,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
89,"both",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2047,2428,2589,2768"
90,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2045,2580,2769"
90,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
91,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1685,1866,2036,2730"
91,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2574,2768"
92,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2715"
92,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2047,2428,2577,2730"
93,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
93,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
94,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2593,2768"
94,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2576,2768"
95,"right",7,0.857142857142857,0.6,0.705882352941176,"1085,1525,1685,1866,2038,2591,2767"
95,"both",7,0.714285714285714,0.5,0.588235294117647,"1085,1525,1685,1866,2038,2575,2767"
96,"right",7,1,0.7,0.823529411764706,"1069,1526,1685,1866,2047,2591,2768"
96,"both",8,0.75,0.6,0.666666666666667,"1069,1526,1685,1866,2047,2428,2573,2768"
97,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2016,2589,2769"
97,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
98,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2047,2558,2768"
98,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2418,2576,2843"
99,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2044,2576,2768"
99,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2044,2428,2575,2768"
100,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2758"
100,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2574,2758"
101,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1890,2047,2592,2769"
101,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1890,2047,2428,2572,2769"
