"method","k","replicates","mean_time","median_time","lower","upper"
"SVP Gaussian / both / c = 1.987",28,12,0.0560833333333335,0.05600000000004,0.0559999999999263,0.05600000000004
"SVP Gaussian / both / c = 1.987",29,12,0.0544166666666683,0.0539999999999736,0.0539999999999736,0.0550000000000637
"SVP Gaussian / both / c = 1.987",30,12,0.0524999999999996,0.0520000000000209,0.0520000000000209,0.0529999999999973
"SVP Gaussian / both / c = 1.987",31,12,0.0504583333333528,0.0507499999999652,0.0500000000000114,0.0510000000000446
"SVP Gaussian / both / c = 1.987",32,12,0.0487916666666734,0.0487499999999841,0.04849999999999,0.049000000000035
"SVP Gaussian / both / c = 1.987",33,12,0.0473750000000024,0.0472499999999911,0.0470000000000255,0.0475000000000136
"SVP Gaussian / both / c = 1.987",34,12,0.0457083333333278,0.0455000000000041,0.0455000000000041,0.0459999999999923
"SVP Gaussian / both / c = 1.987",35,12,0.0446249999999964,0.0445000000000277,0.0440000000000111,0.0452499999999532
"SVP Gaussian / both / c = 1.987",36,12,0.042916666666675,0.0430000000000064,0.0425000000000182,0.0430000000000064
"SVP Gaussian / both / c = 1.987",37,12,0.0421249999999939,0.0420000000000016,0.0417499999999791,0.0425000000000182
"SVP Gaussian / both / c = 1.987",38,12,0.0406249999999867,0.0405000000000086,0.0404999999999518,0.0407500000000027
"SVP Gaussian / both / c = 1.987",39,12,0.0397500000000074,0.039749999999998,0.0392500000000098,0.0400000000000205
"SVP Gaussian / both / c = 1.987",40,12,0.0387083333333322,0.0384999999999991,0.0384999999999991,0.0389999999999873
"SVP Gaussian / both / c = 1.987",41,12,0.0376249999999961,0.0374999999999943,0.0374999999999659,0.0377500000000168
"SVP Gaussian / both / c = 1.987",42,12,0.0367499999999978,0.036500000000018,0.0364999999999895,0.0370000000000061
"SVP Gaussian / both / c = 1.987",43,12,0.0357083333333369,0.0355000000000132,0.0355000000000132,0.0360000000000014
"SVP Gaussian / both / c = 1.987",44,12,0.035333333333341,0.035000000000025,0.0349999999999966,0.0357500000000073
"SVP Gaussian / both / c = 1.987",45,12,0.0342083333333344,0.0339999999999918,0.0339999999999918,0.03449999999998
"SVP Gaussian / both / c = 1.987",46,12,0.0338750000000137,0.0337499999999977,0.0332500000000095,0.0345000000000368
"SVP Gaussian / both / c = 1.987",47,12,0.032708333333332,0.0325000000000273,0.0324999999999704,0.0330000000000155
"SVP Gaussian / both / c = 1.987",48,12,0.0321250000000219,0.0320000000000391,0.0320000000000107,0.0324999999999989
"SVP Gaussian / both / c = 1.987",49,12,0.0313333333333314,0.0314999999999941,0.0310000000000059,0.0314999999999941
"SVP Gaussian / both / c = 1.987",50,12,0.0307083333333414,0.0307500000000118,0.0305000000000177,0.0310000000000059
"SVP Gaussian / both / c = 1.987",51,12,0.0303749999999875,0.0302499999999952,0.0299999999999727,0.0307499999999834
"SVP Gaussian / both / c = 1.987",52,12,0.0297083333333414,0.0295000000000414,0.0294999999999845,0.0300000000000296
"SVP Gaussian / both / c = 1.987",53,12,0.0292083333333485,0.0290000000000248,0.0289999999999964,0.029750000000007
"SVP Gaussian / both / c = 1.987",54,12,0.0288333333333384,0.0289999999999964,0.0285000000000082,0.0289999999999964
"SVP Gaussian / both / c = 1.987",55,12,0.0279166666666792,0.0279999999999916,0.0275000000000318,0.02800000000002
"SVP Gaussian / both / c = 1.987",56,12,0.0273055555555588,0.0274166666666531,0.0270000000000247,0.0275000000000034
"SVP Gaussian / both / c = 1.987",57,12,0.0268888888888846,0.0268333333333336,0.0266666666666614,0.0270000000000058
"SVP Gaussian / both / c = 1.987",58,12,0.026500000000005,0.0264999999999986,0.0263333333333549,0.0266666666666424
"SVP Gaussian / both / c = 1.987",59,12,0.0259444444444467,0.0259999999999915,0.0256666666666661,0.0260000000000105
"SVP Gaussian / both / c = 1.987",60,12,0.0255277777777678,0.0256666666666661,0.0253333333333027,0.0256666666666661
